TransactionDate,OrginZip,DestZip,Weight,WeightUnit,ServiceDesc
10/4/2024,43125,93955,0.1,L,Mail Innovations
10/4/2024,43125,11722,0.08,L,Mail Innovations
10/4/2024,43125,76354,0.08,L,Mail Innovations
10/4/2024,43125,88220,0.08,L,Mail Innovations
10/4/2024,43125,34476,0.08,L,Mail Innovations
10/4/2024,43125,53406,0.08,L,Mail Innovations
10/4/2024,43125,94110,0.08,L,Mail Innovations
10/4/2024,43125,29657,0.08,L,Mail Innovations
10/4/2024,43125,60016,0.68,L,Mail Innovations
10/4/2024,43125,31503,0.94,L,Mail Innovations
10/4/2024,43125,29323,0.64,L,Mail Innovations
10/4/2024,43125,19810,0.84,L,Mail Innovations
10/4/2024,43125,87120,0.84,L,Mail Innovations
10/4/2024,43125,7202,0.68,L,Mail Innovations
10/4/2024,43125,31022,0.46,L,Mail Innovations
10/4/2024,43125,11206,0.52,L,Mail Innovations
10/4/2024,43125,63108,0.72,L,Mail Innovations
10/4/2024,43125,20002,0.84,L,Mail Innovations
10/4/2024,43125,2673,0.94,L,Mail Innovations
10/4/2024,43125,10956,0.98,L,Mail Innovations
10/4/2024,43125,23060,0.4,L,Mail Innovations
10/4/2024,43125,19810,0.58,L,Mail Innovations
10/4/2024,43125,11791,0.86,L,Mail Innovations
10/4/2024,43125,35007,0.8,L,Mail Innovations
10/4/2024,43125,37022,0.8,L,Mail Innovations
10/4/2024,43125,53706,0.9,L,Mail Innovations
10/4/2024,43125,28223,0.8,L,Mail Innovations
10/4/2024,43125,65202,0.59,L,Mail Innovations
10/4/2024,43125,29464,0.42,L,Mail Innovations
10/4/2024,43125,10543,0.41,L,Mail Innovations
10/4/2024,43125,30144,0.46,L,Mail Innovations
10/4/2024,43125,21157,0.56,L,Mail Innovations
10/4/2024,43125,2118,0.42,L,Mail Innovations
10/9/2024,43125,19111,1.13,L,Mail Innovations
10/9/2024,43125,29424,1.02,L,Mail Innovations
10/9/2024,43125,60491,1.11,L,Mail Innovations
10/9/2024,43125,84058,1.02,L,Mail Innovations
10/9/2024,43125,72022,1.05,L,Mail Innovations
10/9/2024,43125,20002,1,L,Mail Innovations
10/9/2024,43125,20910,1,L,Mail Innovations
10/9/2024,43125,30041,1.12,L,Mail Innovations
10/9/2024,43125,80218,1.04,L,Mail Innovations
10/9/2024,43125,30324,1,L,Mail Innovations
10/9/2024,43125,77301,1.04,L,Mail Innovations
10/11/2024,43125,60517,1.06,L,Mail Innovations
10/11/2024,43125,32809,1.03,L,Mail Innovations
10/11/2024,43125,6759,1,L,Mail Innovations
10/11/2024,43125,90210,1.01,L,Mail Innovations
10/7/2024,43125,30188,0.42,L,Mail Innovations
10/7/2024,43125,98021,0.44,L,Mail Innovations
10/7/2024,43125,2021,0.81,L,Mail Innovations
10/7/2024,43125,75092,0.68,L,Mail Innovations
10/7/2024,43125,14620,0.81,L,Mail Innovations
10/7/2024,43125,37620,0.41,L,Mail Innovations
10/7/2024,43125,6096,0.47,L,Mail Innovations
10/7/2024,43125,77054,0.59,L,Mail Innovations
10/7/2024,43125,29690,0.44,L,Mail Innovations
10/7/2024,43125,84601,0.42,L,Mail Innovations
10/7/2024,43125,53404,0.43,L,Mail Innovations
10/7/2024,43125,77007,0.52,L,Mail Innovations
10/7/2024,43125,27909,0.56,L,Mail Innovations
10/7/2024,43125,18301,0.55,L,Mail Innovations
10/7/2024,43125,32805,0.42,L,Mail Innovations
10/7/2024,43125,34471,0.74,L,Mail Innovations
10/7/2024,43125,1451,0.94,L,Mail Innovations
10/7/2024,43125,84601,0.56,L,Mail Innovations
10/7/2024,43125,59106,0.47,L,Mail Innovations
10/7/2024,43125,60181,0.85,L,Mail Innovations
10/7/2024,43125,37209,0.33,L,Mail Innovations
10/7/2024,43125,33156,0.59,L,Mail Innovations
10/7/2024,43125,34203,0.69,L,Mail Innovations
10/7/2024,43125,30176,0.46,L,Mail Innovations
10/7/2024,43125,94601,0.94,L,Mail Innovations
10/7/2024,43125,89436,0.49,L,Mail Innovations
10/7/2024,43125,15112,0.91,L,Mail Innovations
10/7/2024,43125,10128,0.52,L,Mail Innovations
10/7/2024,43125,49315,0.57,L,Mail Innovations
10/7/2024,43125,18612,0.52,L,Mail Innovations
10/7/2024,43125,3755,0.48,L,Mail Innovations
10/7/2024,43125,22150,0.84,L,Mail Innovations
10/7/2024,43125,85331,0.79,L,Mail Innovations
10/7/2024,43125,19123,0.42,L,Mail Innovations
10/7/2024,43125,85122,0.46,L,Mail Innovations
10/7/2024,43125,6096,0.46,L,Mail Innovations
10/9/2024,43125,78757,0.09,L,Mail Innovations
10/9/2024,43125,59401,0.1,L,Mail Innovations
10/9/2024,43125,5641,0.18,L,Mail Innovations
10/9/2024,43125,63017,0.91,L,Mail Innovations
10/9/2024,43125,44224,0.91,L,Mail Innovations
10/9/2024,43125,19085,0.79,L,Mail Innovations
10/9/2024,43125,98125,0.03,L,Mail Innovations
10/9/2024,43125,93117,0.09,L,Mail Innovations
10/9/2024,43125,46322,0.99,L,Mail Innovations
10/9/2024,43125,73013,0.43,L,Mail Innovations
10/9/2024,43125,32904,0.52,L,Mail Innovations
10/9/2024,43125,95118,0.42,L,Mail Innovations
10/9/2024,43125,85338,0.61,L,Mail Innovations
10/9/2024,43125,19382,0.48,L,Mail Innovations
10/9/2024,43125,75001,0.59,L,Mail Innovations
10/9/2024,43125,92118,0.43,L,Mail Innovations
10/9/2024,43125,28540,0.72,L,Mail Innovations
10/9/2024,43125,32615,0.9,L,Mail Innovations
10/9/2024,43125,98103,0.9,L,Mail Innovations
10/9/2024,43125,1970,0.52,L,Mail Innovations
10/9/2024,43125,85281,0.52,L,Mail Innovations
10/9/2024,43125,27520,0.86,L,Mail Innovations
10/9/2024,43125,92886,0.55,L,Mail Innovations
