BOL Number,Overlabel Reason,Customer Reference,Overlabeled DC,Receive Date,DHL Tracking Number,Customer Confirmation Number,Delivery Confirmation Number,Recipient Name
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604392489,"08/21/2025 09:06:40 pm",'1102110886132625,'420265089261290339737604392489,'9361289936500477649567,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604391369,"08/21/2025 09:06:40 pm",'1102110886130425,'420914369261290339737604391369,'9361289936500477649345,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604392199,"08/21/2025 09:06:40 pm",'1102110886130325,'420900369261290339737604392199,'9361289936500477649338,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290223367607154649,"08/21/2025 09:06:40 pm",'1102110886130525,'420750029261290223367607154649,'9361289936500477649352,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604394070,"08/21/2025 09:06:40 pm",'1102110886130025,'420782599261290339737604394070,'9361289936500477649307,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604393271,"08/21/2025 09:06:40 pm",'1102110886132725,'420070309261290339737604393271,'9361289936500477649574,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604393813,"08/21/2025 09:06:40 pm",'1102110886216725,'420270069261290339737604393813,'9361289936500477647976,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604394193,"08/21/2025 09:06:40 pm",'1102110886217625,'420331319261290339737604394193,'9361289936500477648065,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604395039,"08/21/2025 09:06:40 pm",'1102110886129925,'420299029261290339737604395039,'9361289936500477649291,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604393455,"08/21/2025 09:06:40 pm",'1102110886131725,'420782599261290339737604393455,'9361289936500477649475,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604392267,"08/21/2025 09:06:40 pm",'1102110886131625,'420347879261290339737604392267,'9361289936500477649468,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604391765,"08/21/2025 09:06:40 pm",'1102110886217325,'420121989261290339737604391765,'9361289936500477648034,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604393844,"08/21/2025 09:06:40 pm",'1102110886131525,'420980599261290339737604393844,'9361289936500477649451,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604392694,"08/21/2025 09:06:40 pm",'1102110886217425,'420633689261290339737604392694,'9361289936500477648041,
'53923585082121092749,Ccn Overlabel For Usps Evs,"IFS/BOXIISHIP SYSTEM BEAUTY",'9261290339737604391949,"08/21/2025 09:06:40 pm",'1102110886129325,'420836869261290339737604391949,'9361289936500477649239,
